Sex	Age	HI_Tool	Z_Latency	id	Colony	rear
2	18	-1	-0.0021	6104	1	1
1	28	-0.4	7.26024	3912	1	3
1	20	0.4	0.17378	4152	1	2
1	21	0.44	-0.24393	5188	1	1
2	24	0.44	0.18111	5540	1	2
2	22	0.4	-0.43447	5066	1	1
2	26	0.76	-0.11202	3462	1	3
2	27	0.96	-0.72027	4205	1	1
1	21	0	0.91394	9728	1	3
1	15	0.32	0.7234	5803	1	1
1	28	0	0.12981	4523	1	1
1	18	0.04	-0.61035	5630	1	2
2	41	-0.96	-0.73493	1768	1	3
2	35	0.44	0.70142	3867	1	2
2	46	-0.36	1.92524	1929	1	3
2	13	0.88	-0.94012	6039	1	1
2	32	-0.12	-0.89615	3440	1	1
1	14	-1	-0.03874	5957	1	1
2	29	0.76	0.223	5180	1	2
2	13	-0.56	-0.98409	6167	1	1
2	17	-0.48	-1.21127	5555	1	1
2	34	0.28	1.85196	4015	1	1
2	15	0.44	-0.52973	5721	1	1
2	26	0	-0.16332	4544	1	2
2	30	1	-0.84485	6493	1	2
1	11	0.04	0.34233	6208	1	1
1	18	-0.52	-0.94745	5465	1	3
2	26	-0.48	0.12981	2525	1	1
2	33	0.48	-0.26592	4244	1	1
2	22	0.12	-0.30256	5061	1	1
1	15	0.28	0.09317	5618	1	1
1	11	-0.24	-0.59569	6182	1	1
2	30	-0.44	2.52616	4654	1	2
1	25	0.68	0.73073	4721	1	1
1	24	0.2	-0.68363	6174	1	1
2	22	0.08	-0.24393	5073	1	1
2	26	0.8	0.70875	10245	1	1
1	9	0.28	-0.85951	7153	1	1
1	22	0.44	0.25439	5787	1	2
2	38	0.52	0.74539	2201	1	3
2	44	-0.04	1.32432	1732	1	3
1	37	0	-0.56638	9696	1	3
1	18	0.4	-0.625	4746	1	1
2	21	-0.88	-0.17798	5867	1	2
1	44	-0.48	1.14112	2601	1	3
1	20	-0.24	-0.53706	5797	1	1
2	16	-0.48	0.02722	5691	1	1
2	50	-1	1.07516	1407	1	3
2	39	0.48	-0.24393	2006	1	3
1	16	-0.2	-0.36118	5659	1	2
2	14	-0.08	-0.85218	5941	1	1
