MeanIceDepth,IceageYear,MeanAirAgeYear,CO2MixingRatio,Core
83.1,1939,1969,323.2,DE08
83.98,1938,1968,323.7,DE08
89.15,1935,1965,319.5,DE08
89,1935,1965,318.8,DE08
91.95,1933,1963,318.2,DE08
93,1932,1962,318.7,DE08
93.15,1932,1962,317,DE08
92.68,1932,1962,319.4,DE08
92.84,1932,1962,317,DE08
104.44,1923,1953,311.9,DE08
104.61,1923,1953,311,DE08
104.29,1923,1953,312.7,DE08
115.66,1914,1944,309.7,DE08
121.8,1909,1939,311,DE08
121.9,1908,1938,310.5,DE08
130.27,1902,1932,307.8,DE08
138.79,1894,1924,304.8,DE08
138.79,1894,1924,304.1,DE08
149.86,1885,1915,301.3,DE08
153,1882,1912,300.7,DE08
160.7,1875,1905,296.9,DE08
160.9,1875,1905,298.5,DE08
167.86,1868,1898,294.7,DE08
174.39,1862,1892,294.6,DE08
179.5,1856,1886,293.7,DE08
184.31,1852,1882,291.9,DE08
190.3,1847,1877,288.8,DE08
197.54,1839,1869,287.4,DE08
206.09,1831,1861,286.6,DE08
214.1,1824,1854,284.9,DE08
218.02,1820,1850,285.2,DE08
228.74,1810,1840,283,DE08
81.11,1948,1978,335.2,DE08-2
81.3,1948,1978,332,DE08-2
85.05,1945,1975,331.2,DE08-2
87.96,1943,1973,328.1,DE08-2
90.55,1941,1971,324.1,DE08-2
91.69,1940.2,1970,325.2,DE08-2
92.3,1939.7,1970,324.7,DE08-2
120.27,1918,1948,309.9,DE08-2
128.79,1910,1940,310.5,DE08-2
135.82,1904,1934,309.2,DE08-2
242.81,1802,1832,284.5,DE08-2
78.02,1901,1959,315.7,DSS
81.82,1896,1954,313.6,DSS
81.82,1896,1954,314.7,DSS
81.82,1896,1954,314.1,DSS
86.19,1890,1948,311.4,DSS
92.86,1881,1939,309.2,DSS
94.13,1878,1936,307.9,DSS
99.82,1871,1929,305.2,DSS
100.32,1868,1926,305,DSS
114.45,1847,1905,299,DSS
116.89,1841,1899,296.5,DSS
122.82,1833,1891,294.7,DSS
151.56,1787,1845,286.1,DSS
163.51,1767,1825,285.1,DSS
179.97,1738,1796,283.7,DSS
181.34,1736,1794,281.6,DSS
190.88,1719,1777,279.5,DSS
200.64,1702,1760,276.7,DSS
206.5,1691,1749,277.2,DSS
207.58,1689,1747,276.9,DSS
223.01,1662,1720,277.5,DSS
238,1634,1692,276.5,DSS
245.63,1621,1679,275.9,DSS
263.35,1589,1647,277.2,DSS
285.2,1546,1604,274.3,DSS
293.2,1531,1589,278.7,DSS
302.14,1512,1570,281.9,DSS
313.93,1489,1547,282.8,DSS
323.84,1469,1527,283.2,DSS
336.73,1441,1499,282.4,DSS
351.3,1407,1465,279.6,DSS
360.64,1388,1446,281.7,DSS
387.13,1329,1387,280,DSS
387.2,1329,1387,280.4,DSS
414.22,1269,1327,283.4,DSS
447.34,1188,1246,281.7,DSS
467.85,1138,1196,283.9,DSS
488.46,1088,1146,283.8,DSS
506.03,1038,1096,282.4,DSS
523.56,988,1046,280.3,DSS
534.27,948,1006,279.4,DSS
