Plot	Longitude	Latitude	CR_CAN 	CR_LP	Elevation	INTRA_VAR	INTER_VAR	MAT	MAP	RSI	ASR	Easterness	Age 	Macro	Northerness	Slope	TCI	SR	nSIE	nAE	pSIE	pAE
AC001	221103.5	3190788.6	203	203	778.4	1.26	0.3	16.34	785.65	0.727	1369270	0.869	1.08	0.365	0.495	16.1	1.26	21	3	6	14.3	28.6
AC002	221403.5	3192188.6	215	215	447.3	1.23	0.3	17.84	572.6	0.739	1229380	0.933	1.08	0.345	-0.360	22.3	1.14	19	4	11	21.1	57.9
AC003	221803.5	3192688.6	562	562	292.1	1.2	0.31	18.65	469.18	0.716	1397700	0.044	0.78	0.355	0.999	16.8	1.28	25	4	14	16.0	56.0
AC005	222103.5	3192888.6	302	302	61	1.24	0.32	19.53	372.36	0.760	1008530	0.631	0.78	0.335	0.776	22.3	1.48	21	5	13	23.8	61.9
AC006	222003.5	3192688.6	302	302	142.4	1.22	0.32	19.27	408.47	0.729	1170220	-0.143	0.78	0.342	0.990	35.6	1.78	23	4	13	17.4	56.5
AC007	222403.5	3192988.6	232	232	121.1	1.2	0.31	19.3	414.71	0.764	1199280	0.697	0.78	0.308	-0.717	26.2	1.86	22	8	17	36.4	77.3
AC008	219003.5	3190688.6	186	186	825	1.3	0.31	16	790.72	0.712	1385990	0.974	1.08	0.403	0.228	13.5	1.14	24	3	6	12.5	25.0
AC009	219003.5	3190888.6	136	136	816.1	1.25	0.31	15.99	812.37	0.714	1398880	0.772	1.08	0.414	0.636	15.7	1.36	27	5	13	18.5	48.1
AC010	219303.5	3190788.6	149	149	746.7	1.23	0.31	16.38	738.66	0.702	1189530	0.407	0.78	0.431	0.914	34.6	1.41	46	8	18	17.4	39.1
AC011	219403.5	3190788.6	195	195	727.6	1.25	0.31	16.57	736.2	0.707	1242570	0.673	0.78	0.433	0.740	25.8	1.75	14	1	3	7.1	21.4
AC012	219103.5	3190188.6	152	152	927.6	1.31	0.31	15.69	817.5	0.732	1420910	0.999	1.08	0.405	-0.042	13.6	1.13	20	2	2	10.0	10.0
AC013	219003.5	3191188.6	238	238	743.3	1.24	0.31	16.32	740.15	0.704	1334790	0.432	1.08	0.430	0.902	24.3	1.17	10	1	2	10.0	20.0
AC014	218903.5	3191388.6	236	236	753	1.24	0.31	16.36	779.8	0.697	1474750	-0.182	1.08	0.434	0.983	21.3	1.26	15	3	5	20.0	33.3
AC015	218203.5	3191688.6	183	183	720.7	1.2	0.31	16.64	635.83	0.733	985376	0.620	0.78	0.433	-0.785	44.3	1.63	12	0	2	0.0	16.7
AC016	219103.5	3191788.6	304	304	647	1.22	0.31	16.89	657.43	0.698	1491520	-0.710	1.08	0.438	0.705	30.5	1.13	14	1	5	7.1	35.7
AC017	219103.5	3192088.6	326	326	571.9	1.24	0.31	17.26	629.24	0.706	1289970	0.494	1.08	0.448	0.869	24.5	1.57	12	4	7	33.3	58.3
AC018	226703.5	3180588.6	95	95	1273.3	1.39	0.34	13.66	1279.8	0.698	1633080	-0.966	1.08	0.316	-0.257	35.9	1.07	6	0	2	0.0	33.3
AC019	225703.5	3181088.6	51	51	1498.3	1.37	0.35	12.65	1261.24	0.696	1386230	0.240	1.08	0.413	0.971	30.0	1.25	17	3	10	17.6	58.8
AC020	223003.5	3183688.6	33	33	2185.6	1.37	0.39	9.56	990.9	0.798	1596100	0.980	1.08	0.256	-0.201	15.0	1.16	5	2	5	40.0	100.0
AC021	217703.5	3185188.6	51	45	2172.4	1.38	0.39	9.75	825.39	0.827	1737600	0.947	1.08	-0.059	-0.321	4.9	1.03	4	2	4	50.0	100.0
AC022	225803.5	3189588.6	183	183	808.1	1.3	0.26	15.97	973.46	0.694	1407890	0.875	1.08	0.437	0.483	13.8	1.13	19	2	6	10.5	31.6
AC023	225503.5	3189088.6	203	203	808.2	1.23	0.27	15.86	967.34	0.689	1348960	-0.010	0.78	0.427	1.000	31.5	1.40	25	3	8	12.0	32.0
AC024	225503.5	3188888.6	229	229	744.8	1.25	0.27	15.95	901.41	0.687	1464560	-0.803	0.78	0.433	0.596	14.0	1.29	21	4	9	19.0	42.9
AC027	208903.5	3182988.6	2061	372	476.7	1.63	0.31	17.48	386.7	0.772	1426040	-0.271	1.08	-0.799	-0.963	20.6	1.14	12	1	8	8.3	66.7
AC029	208403.5	3182788.6	5311	74	345.1	1.49	0.32	18.24	316.19	0.782	1385820	0.082	1.08	-0.822	-0.997	19.9	1.21	13	3	8	23.1	61.5
AC030	228803.5	3184688.6	178	178	671	1.34	0.3	16.79	919.86	0.703	984542	0.875	0.78	0.605	-0.485	36.8	1.70	28	3	14	10.7	50.0
AC031	228803.5	3184888.6	236	236	538	1.34	0.3	17.09	830.13	0.698	1113980	0.990	0.78	0.605	-0.139	22.0	1.40	21	0	5	0.0	23.8
AC032	228903.5	3184788.6	161	161	672.7	1.35	0.3	16.63	887.37	0.682	932673	0.994	0.78	0.606	-0.111	38.9	1.56	18	3	9	16.7	50.0
CA002	222703.5	3168388.6	53	53	1481	1.53	0.37	12.82	928.95	0.771	1527790	0.936	0.126	0.221	-0.352	12.3	1.02	5	1	4	20.0	80.0
CA003	222003.5	3165988.6	119	50	1684	1.59	0.36	11.79	886.17	0.790	1561760	-0.110	0.126	-0.120	-0.994	27.9	1.07	4	1	4	25.0	100.0
CA004	222503.5	3165688.6	19	19	1836	1.51	0.38	11.21	865.83	0.801	1621420	0.920	0.126	0.064	-0.392	10.1	1.03	4	2	4	50.0	100.0
CA007	222303.5	3164388.6	143	64	1824.2	1.48	0.37	11.23	848.27	0.810	1577960	0.764	0.0005	-0.112	-0.645	14.2	1.13	10	4	10	40.0	100.0
CA009	222203.5	3163988.6	94	39	1848.1	1.55	0.36	11.1	786.57	0.807	1737400	-0.269	0.0005	-0.180	-0.963	6.8	1.09	3	0	3	0.0	100.0
CA010	222203.5	3163688.6	99	42	1877.6	1.46	0.36	10.84	757.68	0.814	1631890	0.117	0.126	-0.195	-0.993	19.6	1.17	2	0	2	0.0	100.0
CA011	222203.5	3163588.6	178	33	1860.3	1.49	0.36	10.87	797.6	0.810	1632110	-0.189	0.126	-0.195	-0.982	25.7	1.12	3	1	3	33.3	100.0
CA013	222603.5	3162588.6	143	64	1826.9	1.61	0.36	11.3	846.08	0.795	1736130	-0.973	0.126	-0.045	-0.230	1.3	1.02	3	1	3	33.3	100.0
CA014	222203.5	3161788.6	78	39	1677.3	1.58	0.34	11.94	828.99	0.791	1774240	-0.925	0.126	-0.182	-0.381	13.0	1.08	3	1	3	33.3	100.0
CA015	222203.5	3161288.6	76	28	1616.7	1.57	0.36	12.33	823.71	0.777	1604260	0.542	0.126	-0.164	0.841	10.8	1.02	5	2	5	40.0	100.0
CA016	222203.5	3160388.6	126	47	1568.7	1.51	0.35	12.63	771.78	0.774	1608510	0.537	0.0005	-0.130	0.843	10.2	1.14	2	1	2	50.0	100.0
CA018	221803.5	3159788.6	274	39	1449.6	1.55	0.32	13.02	767.87	0.787	1692970	-0.621	0.126	-0.279	-0.784	8.3	1.06	2	1	2	50.0	100.0
CA019	221803.5	3159688.6	115	39	1429.6	1.55	0.32	13.05	756.39	0.786	1708110	-0.774	0.126	-0.276	-0.633	10.7	1.02	3	1	3	33.3	100.0
CA020	222203.5	3158888.6	160	76	1259.6	1.49	0.33	14.09	720.39	0.746	1630070	-0.517	0.126	-0.090	0.856	20.9	1.11	1	0	1	0.0	100.0
CA021	222403.5	3158488.6	69	45	1213.4	1.49	0.33	14.24	751.73	0.762	1599810	0.887	0.126	-0.016	-0.462	2.3	1.00	1	0	1	0.0	100.0
CA022	222603.5	3157988.6	57	51	1164.1	1.46	0.33	14.45	718.02	0.735	1644370	-0.745	0.126	0.047	0.667	23.9	1.13	6	1	3	16.7	50.0
