Fish,Sex,Date,Origin,GnRH,Age,Spawner,Maturity,Plasmaprotein ,Totallength,Growthrate,Meangrowthrate,Totalweight,Condition,Gonadosomatic index,B.Li,B.K,B.Mg,B.Ca,B.Sr,B.Ba,B.Mn,B.Cu,B.Zn,B.Li.Ca,B.K.Ca,B.Mg.Ca,B.Sr.Ca,B.Ba.Ca,B.Mn.Ca,B.Cu.Ca,B.Zn.Ca,Sal,Temp,SW.Li,SW.K,SW.Mg,SW.Ca,SW.Sr,SW.Ba,SW.Mn,SW.Cu,SW.Zn,SW.Li.Ca,SW.K.Ca,SW.Mg.Ca,SW.Sr.Ca,SW.Ba.Ca,SW.Mn.Ca,SW.Cu.Ca,SW.Zn.Ca,Opacity,Otolithgrowthrate,Meanotolithgrowthrate,O.Li,O.K,O.Mg,O.Sr,O.Ba,O.Mn,O.Cu,O.Zn,O.Li.Ca,O.K.Ca,O.Mg.Ca,O.Sr.Ca,O.Ba.Ca,O.Mn.Ca,O.Cu.Ca,O.Zn.Ca
0154A,F,27/10/2009,EC,Non-treated,4,NS,M,2.767,33.5,0,0,350,0.93,0.73,75.29,84643.35,27467.9,176791.24,1029.35,46.84,15.69,1050.86,13956.94,2.46,490.78,256.2,2.66,0.0773,64.74,3.75,48.39,32.33,12.79,0.165,366.11,1218.02,376.31,6.89,0.018,0.569,0.0057,0.0044,2.53,997.55,5338.69,8.38,0.0138,1.09,0.0095,0.0072,0,1.82,0.51,0.21,583.06,8.23,2581.58,2.61,318.86,79.75,212.98,0.0031,1.49,0.034,2.95,1.9,0.58,0.13,0.33
0154A,F,23/11/2009,EC,Non-treated,4,NS,M,2.767,33.5,0,0,342,0.91,1.07,73.1,68764.52,25665.66,111901.35,668.98,5.37,36.87,482.43,9604.55,3.77,629.91,378.21,2.73,0.014,240.37,2.72,52.61,32.96,10.96,0.163,361.13,1204.64,371.3,6.8,0.018,0.531,0.0056,0.0037,2.53,997.42,5352.66,8.38,0.0139,1.03,0.0096,0.0061,0,0.41,0.51,0.21,613.25,5.4,2528.66,2.76,308.23,148.33,66.17,0.003,1.57,0.022,2.89,2.01,0.56,0.23,0.1
0154A,F,16/12/2009,EC,Non-treated,4,NS,M,2.941,33.5,0,0,376,1,3.14,76.41,51373.13,29050.4,122186.73,809.47,4.41,36.92,465.71,10194.87,3.61,430.99,392.05,3.03,0.0105,220.42,2.4,51.14,32.58,7.87,0.155,344.22,1151.09,356.36,6.5,0.017,0.413,0.0051,0.0031,2.5,990.23,5326.86,8.34,0.0137,0.86,0.009,0.0053,0,0.41,0.51,0.22,636.63,4.99,2758.46,3.18,388.12,123.94,61.74,0.0031,1.63,0.021,3.15,2.31,0.71,0.2,0.09
0154A,F,18/01/2010,EC,Non-treated,4,NS,M,3.009,33.5,0,0,336,0.89,3.79,64.44,69850.99,17610.95,95496.65,721.71,22.3,13.08,297.76,9152.75,3.9,749.78,304.09,3.46,0.0681,99.9,1.97,58.74,31.33,4.67,0.139,313.18,1047.29,325.19,5.89,0.014,0.462,0.0041,0.0024,2.47,987.13,5309.2,8.29,0.0129,1.06,0.0079,0.0044,0,0.62,0.51,0.26,707.04,4.89,3184.76,3.92,516.93,169.59,124.55,0.0037,1.81,0.02,3.64,2.85,0.94,0.27,0.19
0154A,F,01/02/2010,EC,Non-treated,4,NS,M,3.742,33.5,0,0,327,0.85,4.65,65.91,66211.33,28951.78,118698.78,912.71,39.9,28.14,315.28,9331.6,3.21,571.79,402.2,3.52,0.0981,172.98,1.68,48.18,30.86,4.53,0.137,308.28,1029.99,320.54,5.8,0.014,0.555,0.0039,0.0022,2.47,985.92,5298.45,8.27,0.0126,1.27,0.0076,0.004,0,0.62,0.51,0.25,690.88,4.83,3349.67,4.25,546.04,282.73,152.83,0.0036,1.77,0.02,3.82,3.1,0.99,0.45,0.23
0154A,F,15/02/2010,EC,Non-treated,4,NS,M,2.766,33.5,0,0,342,0.91,5.85,71.48,32540.57,20160.84,116571.88,802.62,3.03,36.78,237.15,8127.15,3.54,286.14,285.18,3.15,0.0076,230.16,1.28,42.73,30.62,4.39,0.137,308.85,1030.87,321.39,5.81,0.014,0.639,0.0038,0.0021,2.46,985.23,5290.02,8.27,0.0125,1.49,0.0076,0.0039,0,0.62,0.51,0.23,673.51,5.19,3494.24,4.56,579.89,389.08,190.38,0.0034,1.72,0.021,3.99,3.32,1.06,0.61,0.29
0154A,F,15/03/2010,EC,Non-treated,4,NS,M,3.055,33.5,0,0,332,0.88,7.21,70.96,89399.11,20476.18,122133.53,914.18,8.93,23.05,257.57,9219.22,3.35,750.33,276.45,3.42,0.0213,137.65,1.33,46.27,30.44,5.68,0.139,312.17,1040.64,322.62,5.86,0.014,0.817,0.0041,0.0026,2.48,992,5320.72,8.31,0.0125,1.91,0.0079,0.0051,0,0.21,0.51,0.21,650.47,6.32,3640.63,4.91,711.2,401.07,305.35,0.0031,1.66,0.026,4.16,3.57,1.3,0.63,0.47
0154A,F,19/04/2010,EC,Non-treated,4,NS,M,3.19,33.5,0,0,338,0.9,13.32,67.96,31353.71,22856.33,120790.9,973.84,8.09,33.44,266.42,10136.33,3.25,266.08,312.02,3.69,0.0195,201.97,1.39,51.43,30.25,9.03,0.142,317.6,1056.12,327.11,5.96,0.014,1.015,0.0049,0.0037,2.51,995.56,5327.48,8.34,0.0128,2.31,0.0086,0.0069,0,0.31,0.51,0.21,631,6.46,3619.84,4.95,925.69,191.06,482.59,0.003,1.61,0.027,4.13,3.61,1.69,0.3,0.74
0154A,F,28/05/2010,EC,Non-treated,4,NS,M,2.7335,33.5,0,0,293,0.78,2.88,68.19,33566.05,25120.26,118307.21,1117.1,6.19,17.45,399.27,10915.14,3.33,290.47,349.2,4.31,0.0153,107.74,2.13,56.36,30.9,12.34,0.153,333.34,1104.09,346.22,6.27,0.016,1.204,0.0058,0.0054,2.55,987.36,5261.55,8.3,0.0136,2.59,0.0094,0.0097,0,0.31,0.51,0.2,597.18,6.53,NA,NA,NA,NA,NA,0.0029,1.53,0.027,NA,NA,NA,NA,NA
93D10,F,27/10/2009,EC,Non-treated,5,NS,IM,4.222,32,0,0.154929577,336,1.03,1.94,78.77,22819.84,30339.39,146721.06,1086.47,12.16,39.7,1348.74,13729.73,3.1,159.43,340.98,3.39,0.0242,197.4,5.8,57.35,32.33,12.79,0.165,366.11,1218.02,376.31,6.89,0.018,0.569,0.0057,0.0044,2.53,997.55,5338.69,8.38,0.0138,1.09,0.0095,0.0072,1,3.18,1.34,0.28,536.01,15.77,2887.38,5.13,970.3,253.4,494.23,0.0041,1.37,0.065,3.3,3.74,1.77,0.4,0.76
93D10,F,23/11/2009,EC,Non-treated,5,NS,IM,3.089,32,0,0.154929577,336,1.03,2.35,67.07,35120.93,35025,123426.29,758.92,8.09,46.59,807.79,10435.92,3.14,291.68,467.93,2.81,0.0191,275.36,4.13,51.82,32.96,10.96,0.163,361.13,1204.64,371.3,6.8,0.018,0.531,0.0056,0.0037,2.53,997.42,5352.66,8.38,0.0139,1.03,0.0096,0.0061,1,0.71,1.34,0.3,621.78,15.46,2912.95,5.53,1262.16,318,504.29,0.0043,1.59,0.064,3.33,4.03,2.3,0.5,0.77
