CTL	Weight	Sex	
47.6	23.5	1	
45.1	16.5	2	
59.7	50.0	1	
51.2	33.0	2	
59.6	50.0	1	
44.5	20.0	1	
45.8	23.0	1	
42.2	16.0	2	
54.9	52.0	2	
65.1	63.0	2	
31.3	7.5	2	
41.3	15.0	1	
40.1	15.5	1	
55.1	22.5	2	
45.1	22.5	2	
41.7	21.0	2	
43.0	21.5	2	
39.5	17.5	1	
49.5	27.5	1	
51.2	30.5	2	
50.2	31.0	1	
52.5	40.0	2	
57.6	49.0	2	
61.0	63.5	2	
62.3	59.5	2	
43.3	18.5	2	
56.5	46.5	2	
63.0	61.0	2	
62.6	53.5	1	
47.1	27.0	2	
58.2	39.0	1	
46.2	23.0	2	
58.1	51.5	2	
64.2	58.0	1	
47.4	27.0	2	
59.8	47.0	2	
60.0	47.5	2	
62.0	NA	2	
53.9	37.5	2	
57.1	NA	2	
53.8	43.5	2	
63.3	51.0	1	
59.3	NA	2	
57.1	41.0	2	
47.6	19.5	1	
55.7	36.5	2	
31.2	NA	1	
42.2	16.0	2	
62.5	62.5	2	
49.1	22.0	1	
54.6	29.5	1	
40.3	14.0	1	
53.1	33.0	1	
57.4	42.0	1	
58.2	37.5	1	
55.0	33.0	1	
56.0	42.0	2	
53.4	36.5	2	
55.0	39.5	2	
65.0	56.5	1	
61.3	48.0	1	
52.2	36.5	2	
55.9	45.0	2	
53.3	34.5	1	
34.4	9.0	1	
42.5	20.5	2	
61.9	NA	2	
38.2	12.5	1	
32.7	6.0	1	
48.4	24.5	2	
52.6	31.0	1	
27.9	4.5	1	
31.5	6.0	2	
57.4	NA	1	
45.5	20.0	1	
26.1	3.5	1	
25.5	3.0	1	
25.3	3.0	1	
52.4	NA	1	
56.6	40.0	1	
55.7	NA	1	
48.5	26.5	1	
46.4	25.0	2	
48.5	26.0	1	
30.0	5.0	1	
30.5	5.5	2	
24.5	NA	1	
51.5	28.0	1	
37.8	10.5	2	
25.2	3.0	2	
39.5	12.0	1	
42.6	17.5	1	
39.9	14.5	2	
38.9	11.0	2	
38.0	NA	1	
30.1	4.5	2	
37.5	11.0	1	
35.2	9.0	1	
37.6	11.0	1	
30.1	5.0	1	
45.0	20.5	1	
26.9	4.0	1	
23.8	3.0	2	
45.2	NA	2	
35.5	9.0	1	
34.4	9.0	1	
42.5	20.5	2	
61.9	NA	2	
38.2	12.5	1	
32.7	6.0	1	
48.4	24.5	2	
52.6	31.0	1	
27.9	4.5	1	
31.5	6.0	2	
57.4	NA	1	
45.5	20.0	1	
26.1	3.5	1	
25.5	3.0	1	
25.3	3.0	1	
52.4	NA	1	
56.6	40.0	1	
55.7	NA	1	
48.5	26.5	1	
46.4	25.0	2	
48.5	26.0	1	
30.0	5.0	1	
30.5	5.5	2	
24.5	NA	1	
51.5	28.0	1	
37.8	10.5	2	
25.2	3.0	2	
39.5	12.0	1	
42.6	17.5	1	
39.9	14.5	2	
38.9	11.0	2	
38.0	NA	1	
30.1	4.5	2	
37.5	11.0	1	
35.2	9.0	1	
37.6	11.0	1	
30.1	5.0	1	
45.0	20.5	1	
26.9	4.0	1	
23.8	3.0	2	
45.2	NA	2	
35.5	9.0	1	
57.3	48.5	2	
48.7	33.5	2	
47.2	26.5	2	
50.9	31.0	2	
44.7	23.5	2	
56.5	50.0	2	
47.8	31.5	2	
46.6	26.5	2	
48.2	26.0	2	
52.1	34.0	2	
44.9	22.0	2	
51.8	26.0	2	
50.2	26.5	1	
40.0	15.0	2	
47.5	21.5	1	
47.3	21.0	2	
48.3	27.0	1	
46.4	20.0	1	
36.2	9.0	2	
37.6	12.5	2	
41.8	12.0	1	
45.5	22.0	1	
40.2	14.0	1	
39.2	11.5	2	
27.2	4.0	1	
69.5	72.5	1	
64.0	62.0	1	
57.4	43.5	2	
54.8	31.0	2	
49.4	17.0	2	
57.4	38.5	1	
55.0	43.5	2	
53.2	36.0	2	
55.0	42.5	2	
50.3	26.5	1	
62.4	54.0	1	
50.0	27.0	2	
49.4	32.0	2	
43.3	17.0	2	
43.4	19.5	2	
56.2	35.5	1	
43.2	20.5	2	
46.4	19.5	1	
46.1	24.0	2	
42.0	19.5	2	
44.5	21.5	2	
37.3	8.5	2	
33.5	9.0	1	
37.9	13.5	2	
36.3	10.0	2	
50.5	27.5	1	
43.9	15.5	2	
43.3	18.0	2	
47.4	19.5	2	
46.6	17.0	1	
50.2	33.0	2	
39.8	15.0	2	
41.1	15.0	1	
34.1	9.0	1	
38.2	13.5	2	
33.0	7.5	2	
51.2	NA	2	
50.9	25.0	2	
40.9	15.0	1	
33.1	7.5	1	
39.0	13.0	1	
