ID,Year,Month,Day,Temp,Logger,Type
1,2014,1,1,-1.01275,Con.1,Coniferous
2,2014,1,1,-1.352583333,Con.3,Coniferous
3,2014,1,1,-2.187,Con.5,Coniferous
4,2014,1,1,-2.266416667,Con.7,Coniferous
5,2014,2,1,-0.740291667,Con.1,Coniferous
6,2014,2,1,-1.31075,Con.3,Coniferous
7,2014,2,1,-1.641125,Con.5,Coniferous
8,2014,2,1,-1.805333333,Con.7,Coniferous
9,2014,3,1,-1.327125,Con.1,Coniferous
10,2014,3,1,-1.56175,Con.3,Coniferous
11,2014,3,1,-1.473,Con.5,Coniferous
12,2014,3,1,-2.476,Con.7,Coniferous
13,2014,1,10,-0.216791667,Con.1,Coniferous
14,2014,1,10,-0.661791667,Con.3,Coniferous
15,2014,1,10,-0.780916667,Con.5,Coniferous
16,2014,1,10,-1.008916667,Con.7,Coniferous
17,2013,12,10,-2.102583333,Con.1,Coniferous
18,2013,12,10,-1.896708333,Con.3,Coniferous
19,2013,12,10,-3.279,Con.5,Coniferous
20,2013,12,10,-3.294416667,Con.7,Coniferous
21,2014,2,10,-1.369041667,Con.1,Coniferous
22,2014,2,10,-1.917333333,Con.3,Coniferous
23,2014,2,10,-2.334,Con.5,Coniferous
24,2014,2,10,-2.854,Con.7,Coniferous
25,2014,3,10,0.285666667,Con.1,Coniferous
26,2014,3,10,0.008,Con.3,Coniferous
27,2014,3,10,-0.130666667,Con.5,Coniferous
28,2014,3,10,-0.191541667,Con.7,Coniferous
29,2014,1,11,0.49525,Con.1,Coniferous
30,2014,1,11,0.008,Con.3,Coniferous
31,2014,1,11,0.037,Con.5,Coniferous
32,2014,1,11,0.039,Con.7,Coniferous
33,2013,12,11,-2.249291667,Con.1,Coniferous
34,2013,12,11,-2.106,Con.3,Coniferous
35,2013,12,11,-3.531,Con.5,Coniferous
36,2013,12,11,-3.44125,Con.7,Coniferous
37,2014,2,11,-1.662458333,Con.1,Coniferous
38,2014,2,11,-2.273458333,Con.3,Coniferous
39,2014,2,11,-2.586,Con.5,Coniferous
40,2014,2,11,-3.10575,Con.7,Coniferous
41,2014,3,11,0.621,Con.1,Coniferous
42,2014,3,11,0.44725,Con.3,Coniferous
43,2014,3,11,0.037,Con.5,Coniferous
44,2014,3,11,0.039,Con.7,Coniferous
45,2014,1,12,0.621,Con.1,Coniferous
46,2014,1,12,0.008,Con.3,Coniferous
47,2014,1,12,0.037,Con.5,Coniferous
48,2014,1,12,-0.023875,Con.7,Coniferous
49,2013,12,12,-2.52175,Con.1,Coniferous
50,2013,12,12,-2.524416667,Con.3,Coniferous
51,2013,12,12,-3.846,Con.5,Coniferous
52,2013,12,12,-3.840041667,Con.7,Coniferous
53,2014,2,12,-1.599583333,Con.1,Coniferous
54,2014,2,12,-2.210708333,Con.3,Coniferous
55,2014,2,12,-2.25,Con.5,Coniferous
56,2014,2,12,-2.791,Con.7,Coniferous
57,2014,3,12,0.621,Con.1,Coniferous
58,2014,3,12,0.51,Con.3,Coniferous
59,2014,3,12,0.037,Con.5,Coniferous
60,2014,3,12,0.039,Con.7,Coniferous
61,2014,1,13,0.621,Con.1,Coniferous
62,2014,1,13,0.468166667,Con.3,Coniferous
63,2014,1,13,0.037,Con.5,Coniferous
64,2014,1,13,0.039,Con.7,Coniferous
65,2013,12,13,-1.452875,Con.1,Coniferous
66,2013,12,13,-1.499,Con.3,Coniferous
67,2013,12,13,-2.418,Con.5,Coniferous
68,2013,12,13,-2.371583333,Con.7,Coniferous
69,2014,2,13,-0.76125,Con.1,Coniferous
70,2014,2,13,-1.331666667,Con.3,Coniferous
71,2014,2,13,-1.326291667,Con.5,Coniferous
72,2014,2,13,-1.805333333,Con.7,Coniferous
73,2014,3,13,0.390458333,Con.1,Coniferous
74,2014,3,13,0.51,Con.3,Coniferous
75,2014,3,13,0.037,Con.5,Coniferous
76,2014,3,13,0.039,Con.7,Coniferous
77,2014,1,14,0.537166667,Con.1,Coniferous
78,2014,1,14,0.44725,Con.3,Coniferous
79,2014,1,14,0.037,Con.5,Coniferous
80,2014,1,14,0.039,Con.7,Coniferous
81,2013,12,14,-1.054666667,Con.1,Coniferous
82,2013,12,14,-1.03875,Con.3,Coniferous
83,2013,12,14,-1.935,Con.5,Coniferous
84,2013,12,14,-1.910125,Con.7,Coniferous
85,2014,2,14,-0.782208333,Con.1,Coniferous
86,2014,2,14,-0.997,Con.3,Coniferous
87,2014,2,14,-1.305333333,Con.5,Coniferous
88,2014,2,14,-1.679583333,Con.7,Coniferous
89,2014,3,14,0.621,Con.1,Coniferous
90,2014,3,14,0.51,Con.3,Coniferous
91,2014,3,14,0.037,Con.5,Coniferous
92,2014,3,14,0.039,Con.7,Coniferous
93,2014,1,15,-0.509958333,Con.1,Coniferous
94,2014,1,15,-0.871166667,Con.3,Coniferous
95,2014,1,15,-1.284541667,Con.5,Coniferous
96,2014,1,15,-1.239458333,Con.7,Coniferous
97,2013,12,15,-2.060666667,Con.1,Coniferous
98,2013,12,15,-2.105916667,Con.3,Coniferous
99,2013,12,15,-3.468,Con.5,Coniferous
100,2013,12,15,-3.315416667,Con.7,Coniferous
101,2014,2,15,-0.907958333,Con.1,Coniferous
102,2014,2,15,-1.43625,Con.3,Coniferous
103,2014,2,15,-1.641,Con.5,Coniferous
104,2014,2,15,-2.056833333,Con.7,Coniferous
105,2014,3,15,0.621,Con.1,Coniferous
106,2014,3,15,0.51,Con.3,Coniferous
107,2014,3,15,0.037,Con.5,Coniferous
108,2014,3,15,0.039,Con.7,Coniferous
109,2014,1,16,-0.342458333,Con.1,Coniferous
110,2014,1,16,-0.640875,Con.3,Coniferous
111,2014,1,16,-1.179541667,Con.5,Coniferous
112,2014,1,16,-1.050833333,Con.7,Coniferous
113,2013,12,16,-2.500791667,Con.1,Coniferous
114,2013,12,16,-2.566416667,Con.3,Coniferous
115,2013,12,16,-3.993,Con.5,Coniferous
116,2013,12,16,-3.96575,Con.7,Coniferous
117,2014,2,16,-0.887,Con.1,Coniferous
118,2014,2,16,-1.248,Con.3,Coniferous
119,2014,2,16,-1.473,Con.5,Coniferous
120,2014,2,16,-1.784375,Con.7,Coniferous
121,2014,3,16,0.222791667,Con.1,Coniferous
122,2014,3,16,0.175333333,Con.3,Coniferous
123,2014,3,16,-0.08875,Con.5,Coniferous
124,2014,3,16,-0.296333333,Con.7,Coniferous
125,2014,1,17,-0.76125,Con.1,Coniferous
126,2014,1,17,-1.122458333,Con.3,Coniferous
127,2014,1,17,-1.704041667,Con.5,Coniferous
128,2014,1,17,-1.59575,Con.7,Coniferous
129,2013,12,17,-0.468166667,Con.1,Coniferous
