ID	Location	LT	LS	Weight	SEX	Totalparasites
107	1	31.5	27.5	380	1	60
108	1	34.5	30	470	2	23
109	1	39	34	696	2	81
111	1	28.5	24.5	248	2	11
112	1	36	31.5	500	2	93
113	1	34.5	30	508	2	58
114	1	34	29.5	478	2	31
115	1	32.5	28.5	400	1	96
116	1	31.5	27.5	468	2	79
117	1	33	29	478	1	62
118	1	30	26	298	1	8
119	1	31	27.35	364	1	58
120	1	33.5	29.5	410	1	42
121	1	37	32.5	642	2	112
122	1	32.5	29	420	1	47
123	1	31.5	28	376	1	43
124	1	31	27.5	394	1	28
125	1	31.5	27.5	372	1	71
126	1	30.5	27	378	1	38
127	1	31.5	28	416	1	11
128	1	30	27	356	2	46
129	1	30	26.5	334	1	26
130	1	34	30	494	2	34
131	1	38	34	804	2	120
132	1	36	31.5	558	2	27
133	1	35.5	31	490	2	25
134	1	34	29.5	496	2	79
135	1	39	34	738	2	35
136	1	32.5	28.5	428	2	86
137	1	37.5	33	624	2	95
138	1	32	28.5	412	2	54
139	1	36	32	544	2	117
140	1	34.5	30.5	580	2	105
141	1	37	33	654	2	113
142	1	33.5	29.5	412	2	13
143	1	33.5	29.5	472	1	45
144	1	29	25.5	312	2	18
145	1	26	23	224	2	13
146	1	35	31	614	2	190
147	1	28	24	240	2	8
148	1	28	24	268	2	23
149	1	31	27	366	2	47
150	1	29	25	310	1	18
151	1	40	35.5	714	2	122
152	1	34	30	448	2	136
153	1	37.5	33	596	2	108
154	1	34	30	492	2	45
155	1	34.5	30.5	500	2	81
156	1	35	30.5	490	2	183
157	1	35.5	31.5	546	2	104
158	1	33.5	29.5	462	2	97
159	1	33	29	392	2	60
160	1	31.5	29	426	1	166
1	2	33	29	426	1	6
2	2	39	34	674	2	4
3	2	33.5	29	456	2	6
4	2	29.5	26	316	1	4
5	2	35	31	528	2	28
6	2	33	29	670	2	11
7	2	32	27	354	2	53
8	2	24	21	160	1	0
9	2	35	31	504	2	2
10	2	29.5	26	324	2	17
11	2	30	26	328	1	34
12	2	35	31	524	2	17
13	2	30.6	26.6	364	2	11
14	2	32.4	28.3	434	2	2
15	2	34.9	30.2	584	2	1
16	2	28.5	25	278	2	14
17	2	27	23.5	242	1	41
18	2	33	29.5	446	2	11
19	2	36	32	504	1	2
20	2	36	31.5	496	2	2
21	2	32	28	394	1	1
22	2	33.5	29.5	426	2	7
23	2	38.5	34	636	2	4
24	2	38.5	33.5	684	2	11
25	2	37	32.5	658	2	6
26	2	27.5	24	250	1	3
27	2	37	32	586	2	5
28	2	30.4	26.4	346	1	29
29	2	36.5	32	534	2	1
30	2	34	29.5	478	2	0
31	2	29	25	328	2	3
32	2	31	27.5	380	2	3
33	2	25.3	22.2	184	1	2
34	2	30.8	27.4	350	1	1
35	2	27	24	244	2	2
36	2	33.3	29.3	480	2	7
37	2	34.4	30	496	2	2
38	2	32.9	29	476	1	4
39	2	34	29.5	462	1	9
40	2	34.3	30	490	2	10
41	2	32.7	29	466	1	6
42	2	38	33.5	574	1	2
43	2	34.5	30	548	2	38
44	2	34.8	30.5	520	1	2
45	2	35.5	31	584	2	6
46	2	36	31.5	532	2	39
47	2	34.4	30.2	448	2	4
48	2	33.2	29.4	444	2	4
49	2	30	26.5	346	2	1
50	2	29.3	25.8	308	1	16
51	2	29.7	26	320	2	1
52	2	30	26.5	364	1	9
1	3	35	31	522	1	28
2	3	37.6	33.4	650	2	13
3	3	40	35.5	702	2	22
4	3	40.8	35.5	734	2	17
5	3	36	32	596	1	31
6	3	40	35	696	2	22
7	3	38	33.5	510	1	36
8	3	39.5	35	674	2	14
9	3	32.7	29	374	2	13
10	3	33	29.5	388	1	50
11	3	41	36.2	912	2	14
12	3	36	31.5	494	1	33
13	3	40.5	35	772	2	15
14	3	40	34.8	736	2	50
15	3	38	34	612	1	7
16	3	37	32.5	614	1	24
17	3	37	33	602	1	5
18	3	39	34.5	674	1	4
19	3	33.5	30	396	1	10
20	3	32	28.5	376	2	3
21	3	35	31	436	1	4
22	3	36	31.5	538	2	24
23	3	35.8	32	578	2	79
24	3	38.2	34	726	2	47
25	3	41.5	36	778	2	10
26	3	34.3	30	442	2	15
27	3	37.4	33.4	598	1	23
28	3	37.2	32.8	566	1	8
29	3	36.5	32.5	574	2	3
30	3	32.2	28.7	334	1	2
31	3	35.5	31	472	2	15
32	3	38	33.5	660	2	12
33	3	41	35.5	796	2	44
34	3	39.5	34.8	656	2	5
35	3	41.5	36	750	2	18
36	3	36.8	32.5	582	2	2
37	3	40	35.2	744	2	5
38	3	40.2	38	716	2	19
39	3	38.3	33.8	668	1	16
40	3	35.8	31.4	504	1	11
41	3	39.5	34.8	608	1	15
42	3	40	35	754	1	26
43	3	36	32	558	1	9
44	3	39	34	662	2	5
45	3	35	31	458	2	5
46	3	33	29	400	2	1
47	3	38	33.5	642	1	16
48	3	27	24	210	1	5
49	3	38	33.5	624	1	4
50	3	30.5	27	296	1	7
