date,duration,temp_am,temp_pm,no_ntm,no_male,no_female,no_est,no_est2
2021-09-20,66,NA,NA,4,7,18,0,0
2021-09-21,684,17.4,20.3,4,7,23,14,16
2021-09-22,662,19.8,22,5,8,21,11,12
2021-09-23,627,16.7,20.8,7,10,21,12,13
2021-09-24,719,19,20.7,8,11,22,13,17
2021-09-25,720,16.6,17.1,10,13,22,13,16
2021-09-26,703,14.7,NA,7,10,22,9,11
2021-09-27,715,14.7,17.2,9,12,17,12,16
2021-09-28,715,15,18.5,9,12,21,13,16
2021-09-29,703,17.3,19.8,6,9,20,13,17
2021-09-30,717,19.6,21.9,7,10,22,11,12
2021-10-01,0,NA,NA,0,0,0,0,0
2021-10-02,716,15.8,19.5,8,11,21,11,17
2021-10-03,707,15.7,19.1,10,13,20,11,14
2021-10-04,620,18.3,21.3,11,14,19,9,13
2021-10-05,712,18.5,20.8,9,12,18,5,8
2021-10-06,699,18.4,15.9,7,10,20,13,20
2021-10-07,686,15.5,18.5,9,12,20,8,8
2021-10-08,700,19.2,19,11,14,23,10,14
2021-10-09,604,17.7,17.1,8,11,20,10,13
2021-10-10,653,17.3,19.6,13,15,22,6,7
2021-10-11,698,19.1,19.8,12,14,22,7,10
2021-10-12,0,NA,NA,0,0,0,0,0
2021-10-13,555,14.8,15.1,8,10,20,8,12
2021-10-14,235,13.6,NA,6,8,19,4,6
2021-10-15,251,NA,NA,3,5,17,3,3
2021-10-16,652,15,14.2,6,7,19,6,8
2021-10-17,650,14.5,10.1,12,13,20,6,8
2021-10-18,678,7,10.9,10,12,21,7,11
2021-10-19,650,11,14.3,12,14,23,9,13
2021-10-20,674,11.9,13.5,9,11,19,4,5
2021-10-21,666,10,11.3,8,10,19,3,4
2021-10-22,502,8.8,NA,6,8,20,3,4
2021-10-23,385,9.4,9.7,8,10,18,4,6
2021-10-24,662,8.3,14.2,11,13,21,5,7
2021-10-25,667,10,14.7,11,13,21,5,7
2021-10-26,192,NA,8.6,10,12,21,1,1
2021-10-27,673,10.7,14.6,11,13,21,4,4
2021-10-28,660,13.1,14.2,6,8,21,3,4
2021-10-29,678,9.2,12.5,11,13,20,3,4
2021-10-30,670,9.3,11.7,10,12,20,3,3
2021-10-31,632,11.1,13.4,9,11,20,5,6
2021-11-01,646,11.7,14.9,8,10,19,4,5
2021-11-02,677,14.6,16.4,10,12,20,3,4
2021-11-03,670,12.4,14.2,5,7,19,2,3
2021-11-04,657,11.5,13.2,8,10,19,3,4
2021-11-05,673,10.5,13,7,9,20,4,4
2021-11-06,674,10.3,12.1,12,14,21,5,6
2021-11-07,682,10.1,12.3,8,10,21,5,5
2021-11-08,648,12.4,15.8,11,13,20,5,5
2021-11-09,545,14.5,17.7,8,10,21,4,6
2021-11-10,606,12.7,11,8,11,21,4,5
2021-11-11,649,10.3,11.9,7,10,20,3,5
2021-11-12,0,NA,NA,0,0,0,0,0
2021-11-13,114,NA,NA,1,1,7,0,0
2021-11-14,651,9.1,11.4,3,5,19,1,1
2021-11-15,650,10.1,12.2,10,13,20,2,2
2021-11-16,663,NA,10.6,10,13,19,2,3
2021-11-17,659,7.5,9.7,9,12,23,1,1
2021-11-18,660,8,11.2,8,11,23,1,1
2021-11-19,656,9.1,12.4,10,12,19,2,2
2021-11-20,452,8.2,8.2,5,7,14,0,0
2021-11-21,657,7,9.7,10,12,19,3,4
2021-11-22,0,NA,NA,0,0,0,0,0
2021-11-23,85,NA,NA,0,0,3,0,0
2021-11-24,477,7.7,NA,5,8,22,0,0
2021-11-25,482,7.2,8.2,7,10,22,2,3
2021-11-26,610,6.1,6.2,10,13,19,2,2
2021-11-27,645,4.1,5.6,9,12,19,2,3
2021-11-28,621,4.6,6.5,8,11,19,2,3
2021-11-29,625,3.4,6.5,3,6,19,1,1
2021-11-30,641,5.5,8.8,8,11,22,2,4
2021-12-01,391,13.8,8.6,5,8,22,1,2
2021-12-02,625,4.1,5,3,6,22,0,0
2021-12-03,622,6.1,7.8,8,11,22,1,2
2021-12-04,633,6.8,NA,5,8,19,0,0
2021-12-05,623,2.1,4.7,8,11,19,0,0
2021-12-06,639,3.9,7.9,4,7,22,0,0
2021-12-07,627,8.6,11,1,4,22,0,0
2021-12-08,58,NA,NA,2,5,15,0,0
2021-12-09,400,7.6,7.7,8,11,23,0,0
2021-12-10,631,7.3,8.4,6,9,23,1,1
2021-12-11,631,5.5,7.7,6,9,23,0,0
2021-12-12,627,6.8,10.9,6,9,23,0,0
2021-12-13,632,3.9,2.4,4,7,23,0,0
2021-12-14,630,4.6,5.4,6,9,23,0,0
2021-12-15,639,4.6,8.1,7,10,23,0,0
2021-12-16,628,3.7,10.7,7,10,23,0,0
2021-12-17,627,8.6,7.5,7,10,23,0,0
