Year,MigDay,S1997,F,FP,Temp,Umar,Uap,Umay,WRI,PDO,NPGO,NPI,D4,S4,F4,FP4,T4,Umar4,Uap4,Umay4,WRI4,PDO4,NPGO4,NPI4,cumS4,D.sd,betaS
1950,193,0,588.473,176,12.75066667,-49,-4,49,NA,-1.733333333,-1.645,12.48333333,,,,,,,,,,,,,,6.958713,0
1951,182,0,464.9023333,146,14.18633333,-2,34,16,NA,-0.978333333,-0.735,11.3,,,,,,,,,,,,,,9.128202,0
1952,177,0,418.7756667,149,14.72233333,1,-2,18,NA,-1.138333333,-1.105,12.58333333,,,,,,,,,,,,,,8.158586,0
1953,186,0,516.686,168,14.12733333,-17,-3,2,NA,-0.206666667,1.285,8.816666667,,,,,,,,,,,,,,7.939164,0
1954,184,0,510.8513333,143,13.48066667,2,4,28,NA,-0.783333333,0.655,12.38333333,-9,0,-77.6216667,-33,0.73,51,8,-21,NA,0.95,2.3,-0.1,0,9.010579,0
1955,188,0,456.5033333,178,13.961,1,0,67,NA,-1.043333333,0.12,13.66666667,6,0,-8.399,32,-0.225333333,3,-34,51,NA,-0.065,0.855,2.36666667,0,5.929958,0
1956,187,0,664.7266667,155,13.9145,-22,57,57,NA,-2.351666667,-0.085,12.73333333,10,0,245.951,6,-0.807833333,-23,59,39,NA,-1.213333334,1.02,0.15,0,7.975605,0
1957,182,-1,461.2243333,139,15.258,-28,13,10,NA,-0.626666667,-1.565,11.23333333,-4,0,-55.4616667,-29,1.130666667,-11,16,8,NA,-0.42,-2.85,2.416666663,0,9.329613,-0.107185582
1958,186,-4,444.5466667,150,17.39033333,-4,-1,38,NA,0.485,-0.655,9.483333333,2,0,-66.3046666,7,3.909666667,-6,-5,10,NA,1.268333333,-1.31,-2.899999997,0,9.834059,-0.406749644
1959,190,0,507.0966667,174,14.44433333,-9,21,33,NA,0.063333333,-0.445,11.9,2,0,50.5933334,-4,0.483333333,-10,21,-34,NA,1.106666666,-0.565,-1.76666667,0,8.754663,0
1960,178,0,394.4133333,159,14.44433333,-16,-25,-11,NA,0.278333333,0.995,11.13333333,-9,0,-270.3133334,4,0.529833333,6,-82,-68,NA,2.63,1.08,-1.6,0,9.881182,0
1961,182,0,587.29,159,14.82343784,-91,11,1,NA,0.358333333,1.575,9.216666667,0,-1,126.0656667,20,-0.434562164,-63,-2,-9,NA,0.985,3.14,-2.016666663,-1,8.743341,0
1962,184,0,390.18,156,15.42688003,-6,-7,42,NA,-1.428333333,-0.285,12.93333333,-2,-4,-54.3666667,6,-1.963453299,-2,-6,4,NA,-1.913333333,0.37,3.449999997,-4,8.576911,0
1963,183,-0.2,393.5166667,168,16.79076465,-3,-9,8,NA,-0.508333333,-0.61,10.36666667,-7,0,-113.58,-6,2.346431313,6,-30,-25,NA,-0.571666666,-0.165,-1.53333333,0,10.808012,-0.018504791
